"order","productcode","productgroup","productsummary","description","eutr"
"BD","44032110","Logs","Softwood","SAWLOGS OF PINE ""PINUS SPP."", OF WHICH ANY CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED",1
"BD","44032190","Logs","Softwood","PINE ""PINUS SPP."" IN THE ROUGH, OF WHICH ANY CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. SAWLOGS; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BEAMS, ETC.; WOOD TREATED WITH PAINT, STA",1
"BD","44032200","Logs","Softwood","PINE ""PINUS SPP."" IN THE ROUGH, OF WHICH NO CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN THE FORM OF RAILWAY SLE",1
"BD","44032310","Logs","Softwood","SAWLOGS OF FIR ""ABIES SPP."" AND SPRUCE ""PICEA SPP."", OF WHICH ANY CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED",1
"BD","44032390","Logs","Softwood","FIR ""ABIES SPP."" AND SPRUCE ""PICEA SPP."" IN THE ROUGH, OF WHICH ANY CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. SAWLOGS; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BEAMS, ETC.; WOOD",1
"BD","44032400","Logs","Softwood","FIR ""ABIES SPP."" AND SPRUCE ""PICEA SPP."" IN THE ROUGH, OF WHICH NO CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN",1
"BD","44032510","Logs","Softwood","SAWLOGS, CONIFEROUS, OF WHICH ANY CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. PINE, FIR AND SPRUCE; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BEAMS, ETC.; WOOD TREATED WITH PAINT, S",1
"BD","44032590","Logs","Softwood","CONIFEROUS WOOD IN THE ROUGH, OF WHICH ANY CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. PINE, FIR AND SPRUCE; SAWLOGS; WOOD IN THE FORM OF RAILWAY SLEEPERS; WOOD CUT INTO BEAMS, ETC.; WOOD TRE",1
"BD","44032600","Logs","Softwood","CONIFEROUS WOOD IN THE ROUGH, OF WHICH NO CROSS-SECTIONAL DIMENSION IS =>15 CM, WHETHER OR NOT STRIPPED OF BARK OR SAPWOOD, OR ROUGHLY SQUARED (EXCL. PINE, FIR AND SPRUCE, AND ROUGH-CUT WOOD FOR WALKING STICKS, UMBRELLAS, TOOL SHAFTS AND THE LIKE; WOOD IN",1
"CB","44072110","Sawnwood","Tropical hardwood","MAHOGANY ""SWIETENIA SPP."", SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, SANDED, OR END-JOINTED, WHETHER OR NOT PLANED OR SANDED",1
"CB","44072191","Sawnwood","Tropical hardwood","MAHOGANY ""SWIETENIA SPP."", SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, PLANED (EXCL. END-JOINTED)",1
"CB","44072199","Sawnwood","Tropical hardwood","MAHOGANY ""SWIETENIA SPP."", SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM (EXCL. PLANED, SANDED OR END-JOINTED)",1
"CB","44072210","Sawnwood","Tropical hardwood","VIROLA, IMBUIA AND BALSA, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, SANDED, OR END-JOINTED, WHETHER OR NOT PLANED OR SANDED",1
"CB","44072291","Sawnwood","Tropical hardwood","VIROLA, IMBUIA AND BALSA, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, PLANED (EXCL. END-JOINTED)",1
"CB","44072299","Sawnwood","Tropical hardwood","VIROLA, IMBUIA AND BALSA, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM (EXCL. PLANED, SANDED OR END-JOINTED)",1
"CB","44072415","Sawnwood","Tropical hardwood","VIROLA, MAHOGANY ""SWIETENIA SPP."", IMBUIA AND BALSA, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, SANDED, OR END-JOINTED, WHETHER OR NOT PLANED",1
"CB","44072430","Sawnwood","Tropical hardwood","VIROLA, MAHOGANY ""SWIETENIA SPP."", IMBUIA AND BALSA, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, PLANED (EXCL. END-JOINTED)",1
"CB","44072490","Sawnwood","Tropical hardwood","VIROLA, MAHOGANY ""SWIETENIA SPP."", IMBUIA AND BALSA, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM (EXCL. PLANED, SANDED OR END-JOINTED)",1
"CB","44072510","Sawnwood","Tropical hardwood","DARK RED MERANTI, LIGHT RED MERANTI AND MERANTI BAKAU, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, END-JOINTED, WHETHER OR NOT PLANED OR SANDED",1
"CB","44072530","Sawnwood","Tropical hardwood","DARK RED MERANTI, LIGHT RED MERANTI AND MERANTI BAKAU, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, PLANED (EXCL. END-JOINTED)",1
"CB","44072550","Sawnwood","Tropical hardwood","DARK RED MERANTI, LIGHT RED MERANTI AND MERANTI BAKAU, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, SANDED (EXCL. END-JOINTED)",1
"CB","44072560","Sawnwood","Tropical hardwood","DARK RED MERANTI AND LIGHT RED MERANTI, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM (EXCL. SUCH PRODUCTS PLANED, SANDED OR END-JOINTED)",1
"CB","44072580","Sawnwood","Tropical hardwood","MERANTI BAKAU, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM (EXCL. SUCH PRODUCTS PLANED, SANDED OR END-JOINTED)",1
"CB","44072590","Sawnwood","Tropical hardwood","DARK RED MERANTI, LIGHT RED MERANTI AND MERANTI BAKAU, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM (EXCL. SUCH PRODUCTS PLANED, SANDED OR END-JOINTED)",1
"CB","44072610","Sawnwood","Tropical hardwood","WHITE LAUAN, WHITE MERANTI, WHITE SERAYA, YELLOW MERANTI AND ALAN, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, END-JOINTED, WHETHER OR NOT PLANED OR SANDED",1
"CB","44072630","Sawnwood","Tropical hardwood","WHITE LAUAN, WHITE MERANTI, WHITE SERAYA, YELLOW MERANTI AND ALAN, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, PLANED (EXCL. END-JOINTED)",1
"CB","44072650","Sawnwood","Tropical hardwood","WHITE LAUAN, WHITE MERANTI, WHITE SERAYA, YELLOW MERANTI AND ALAN, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, SANDED (EXCL. END-JOINTED)",1
"CB","44072690","Sawnwood","Tropical hardwood","WHITE LAUAN, WHITE MERANTI, WHITE SERAYA, YELLOW MERANTI AND ALAN, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM (EXCL. PLANED, SANDED OR END-JOINTED)",1
"CB","44072710","Sawnwood","Tropical hardwood","SAPELLI, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, SANDED, OR END-JOINTED, WHETHER OR NOT PLANED OR SANDED",1
"CB","44072791","Sawnwood","Tropical hardwood","SAPELLI, SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF > 6 MM, PLANED (EXCL. END-JOINTED)",1
